questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
barriersDisabilityPlanning,Radio,1,barriers,,barriersDisabilityPlanning,"La **planification du déplacement** (facilité de trouver l'information, site web accessible, etc.)","**Trip planning** (ease of finding information, accessible website, etc.)",,,,,hasBarrierDisabilityTripConditional,,barriersChoices,,,,True,,,,,
barriersDisabilityCourtesy,Radio,1,barriers,,barriersDisabilityCourtesy,"Le **manque de civilité** (céder son siège, enlever son sac, gens qui bloquent l’accès à un poteau pour se tenir ou devant les portes) et/ou la présence d’**attitude discriminatoire** (regard hostile) ","**Lack of civility** (giving up one’s seat, removing one’s bag, people blocking access to a pole for support or standing in front of doors) and/or the presence of discriminatory attitudes (hostile stares)",,,,,hasBarrierDisabilityTripConditional,,barriersChoices,,,,True,,,,,
buttonCompleteBarriersSection,NextButton,1,barriers,,buttonCompleteBarriersSection,Continuer,Continue,,,,,,,,,,,,,,,,
householdType,Radio,1,end,,household.type,Laquelle des situations suivantes décrit le mieux votre ménage?,Which of the following situations best describes your household?,,,,,householdTypeConditional,,householdType,,,,1,,,,,
householdTypeSpecify,Radio,1,end,,household.typeSpecify,Plus spécifiquement?,More specifically?,,,,,householdTypeSpecifyConditional,,householdTypeSpecify,,,,1,,,,,
householdPluginHybridCarNumber,RadioNumber,1,end,,household.pluginHybridCarNumber,"Parmi les véhicules possédés par votre ménage, combien sont des **véhicules hybrides rechargeables**?
__Facultatif__
__Ne pas inclure les véhicules hybrides avec moteur à combustion__","Among the vehicles owned by your household, how many are **plug-in hybrid vehicles**?
__Optional__
__Do not include hybrid vehicles powered by an internal combustion engine__",,,"min=0
max=household.carNumber",,householdHasCars,householdHybridCarCountCustomValidation,,,,,1,,,,,
householdElectricCarNumber,RadioNumber,1,end,,household.electricCarNumber,"Parmi les véhicules possédés par votre ménage, combien sont des **véhicules électriques**?
__Facultatif__","Among the vehicles owned by your household, how many are **electric vehicles**?
__Optional__",,,"min=0
max=household.carNumber",,householdHasCars,householdElectricCarCountCustomValidation,,,,,1,,,,,
householdIncome,Select,1,end,,household.income,"Tranche de revenu avant impôts (brut) du ménage, en 2025?
__Facultatif__","What was your household's income range before taxes (gross income), in 2025?
__Optional__",,,,,,,householdIncomeChoices,incomeHelpPopup,,,1,,,,,
didRespondForCorrectAssignedDate,Radio,1,end,,end.didRespondForCorrectAssignedDate,"Les déplacements rapportés dans les sections précédentes représentent-ils la mobilité de votre ménage le {{assignedDate}}?
__Cette question n’est posée que pour des fins statistiques. Si vous répondez Non, on ne vous demandera ni de revenir en arrière ni de corriger ce qui est inscrit. De plus, votre éligibilité au tirage ne sera pas affectée.__","Do the trips reported in the previous sections reflect your household’s travel on {{assignedDate}}?
__This question is for statistical purposes only. If you answer No, you will not be asked to go back or correct your responses. Your eligibility for the draw will not be affected.__",,,customLabels={{didRespondForCorrectDateCustomLabel}},,didRespondForCorrectAssignedDateConditional,,didRespondForCorrectAssignedDateCustomChoices,,,,True,,,,,
didNotRespondForCorrectAssignedDateReasons,Checkbox,1,end,,end.didNotRespondForCorrectAssignedDateReasons,**Pourquoi** n’avez-vous pas rapporté les déplacements du {{assignedDate}}? ,**Why** did you not report your trips for {{assignedDate}}?,,,customLabels={{didNotRespondForCorrectDateReasonCustomLabel}},,didNotRespondForCorrectAssignedDateConditional,,didNotRespondForCorrectAssignedDateReasons,,,,True,,,,,
